intent_type,slots,slot_names,compiler_loc,handler_loc,total_loc,covered_tasks,successful_tasks,unsafe_state_changes,invalid_tool_calls,shared_api_namespaces,shared_runtime_components,adaptation_time
appworld_venmo_friend_transaction_counterparties,2,"direction,sync_mode",20,65,85,6,6,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_delete_downloads_by_extension,1,extension,16,32,48,3,3,0,0,"file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_reorganize_dated_meeting_files,1,source_directory,18,51,69,3,3,0,0,"file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_update_reunion_rsvps_from_phone,1,directory_path,17,156,173,3,3,0,0,"file_system,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_pay_csv_debts_via_venmo_or_splitwise,2,"csv_file_name,private",22,182,204,3,3,0,0,"file_system,splitwise,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_reply_favorite_recipe_to_relationship,1,relationship,18,60,78,3,3,0,0,"phone,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_send_message_to_relationship,3,"relationships,message_kind,message",20,51,71,3,3,0,0,"phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_update_wake_alarm_snooze,2,"day_type,snooze_minutes",17,42,59,3,3,0,0,"phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_add_today_habit_log,2,"habit_key,value",32,74,106,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_count_bucket_list_status,1,status,17,55,72,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_export_habit_tracker_csv,2,"destination_path,sort_order",22,77,99,3,3,0,0,"file_system,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_fill_liked_song_release_months,0,none,14,121,135,3,3,0,0,"simple_note,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_import_markdown_files,1,source_directory,19,40,59,3,3,0,0,"file_system,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_longest_habit_streak,1,habit_key,17,62,79,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_random_quote,1,quote_type,16,56,72,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_update_monthly_venmo_expense,0,none,13,79,92,3,3,0,0,"simple_note,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_workout_duration,1,day_ref,16,68,84,3,3,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_splitwise_accept_known_phone_invitations,2,"message_kind,date_window",22,119,141,3,3,0,0,"phone,splitwise,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_splitwise_record_trip_expenses_from_simple_note,1,relationship_type,18,190,208,3,3,0,0,"phone,simple_note,splitwise,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_splitwise_record_venmo_receipt_payments,1,note,18,131,149,3,3,0,0,"splitwise,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_append_most_common_playlist_genre,0,none,14,47,61,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_apply_phone_playlist_suggestions,1,relationship_type,18,154,172,3,3,0,0,"phone,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_apply_todoist_playlist_suggestions,3,"destination,relationship_type,final_comment",22,254,276,3,3,0,0,"phone,spotify,supervisor,todoist","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_archive_playlist_songs_from_file,2,"source_file_path,playlist_title",18,77,95,3,3,0,0,"file_system,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_filter_queue_by_liked_status,1,remove_filter,20,40,60,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_followed_artist_follower_extreme,1,extreme,15,30,45,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_like_all_library_items,0,none,12,49,61,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_liked_genre_extreme,2,"collection_type,extreme",24,64,88,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_navigate_until_private_status,2,"direction,status_property",19,44,63,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_play_offline_downloaded_collection,2,"collection_type,required_minutes",21,74,95,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_play_released_year_from_collection,2,"release_year,collection_type",24,51,75,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_playlist_artist_song_count_extreme,2,"extreme,limit",18,41,59,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_playlist_from_recent_simple_note,1,playlist_title,16,122,138,3,3,0,0,"simple_note,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_public_liked_library_playlist_share,1,partner_relationship,17,77,94,3,3,0,0,"phone,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_reset_queue_with_recommendations,0,none,12,26,38,3,3,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_todoist_fill_today_from_schedule,1,target_project_name,21,191,212,3,3,0,0,"simple_note,supervisor,todoist","schema,compiler,handler,ledger,policy",not_recorded
appworld_todoist_reassign_accepted_takeover_tasks,1,comment_template,20,101,121,3,3,0,0,"supervisor,todoist","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_accept_named_carpool_request_this_month,1,person_first_name,16,130,146,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_add_friends_by_relationships,1,relationships,18,54,72,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_approve_requests_and_withdraw_balance,2,"date_window,card_last4",19,86,105,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_approve_roommate_requests_this_month,0,none,12,126,138,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_birthday_child_payment_and_text,4,"relationship,multiplier,note,message",28,181,209,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_correct_housing_bill_request,3,"percent,adjustment,note",20,92,112,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_correct_sent_requests_yesterday_evening,3,"relationships,adjustment,difference_amount",24,93,117,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_count_friends_since_month_start,2,"month,year_offset",22,50,72,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_request_money_from_contact,5,"relationships,person_first_name,amount,private,note",24,73,97,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_reset_friends_to_phone_friends,0,none,13,42,55,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_send_to_each_relationship_with_refill,3,"relationships,amount,note",21,110,131,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_send_to_named_user,2,"person_first_name,amount",16,139,155,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_settle_roommate_dinner,5,"taxi_total,food_total,food_payer_first_name,taxi_note,food_note",24,172,196,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_settle_trip_note_debts,3,"relationship,trip_name,note",20,246,266,3,3,0,0,"phone,simple_note,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_signup_missing_relationship_accounts,3,"relationships,password,message",23,75,98,3,3,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_sum_month_transactions,1,direction,17,41,58,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_sum_recent_received_requests,1,days,16,33,49,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_sum_year_bill_payments,1,bill_type,16,36,52,3,3,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_cart_wishlist_total,0,none,12,27,39,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_current_price_from_birthday_order,2,"product_type,relationship",19,127,146,0,0,0,0,"amazon,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_last_order_question_yes_no,2,"product_type,question",17,106,123,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_order_arrival_date,2,"day_offset,date_format",17,60,77,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_returned_product_yes_no,2,"product_type,period",17,81,98,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_spending_total,1,period,15,60,75,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_answer_verified_battery_life_hours,1,product_name,16,160,176,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_buy_last_product_variants,4,"product_type,colors,address_name,card_name",27,173,200,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_cart_buy_cheapest_per_type_move_rest,2,"address_name,card_name",16,117,133,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_download_all_order_receipts,2,"directory_path,file_format",20,68,88,0,0,0,0,"amazon,file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_move_product_type_between_saved_lists,3,"source_container,target_container,product_type",18,58,76,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_move_rating_filtered_products,4,"source_container,target_container,comparison,threshold_rating",20,58,78,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_exact_products_restore_cart,4,"items,address_name,preferred_card_name,restore_cart",25,175,200,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_filtered_product,18,"product_type,min_price,max_price,min_product_rating,min_product_reviews,min_seller_rating,price_bounds_inclusive,rating_threshold_inclusive,prefer_highest_seller,source_container,prior_ordered_sellers_only,max_length,max_width,quantity_relationship,allow_mixed_products,quantity,address_name,card_name",259,388,647,0,0,0,0,"amazon,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_preferred_color_size_product,6,"product_name,relative_size,color_preferences,quantity,address_name,card_name",39,172,211,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_product_and_archive_receipt,4,"product_name,quantity,address_name,bills_root",27,272,299,0,0,0,0,"amazon,file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_product_type_from_saved_list,4,"source_container,product_type,address_name,card_name",19,114,133,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_saved_collections,3,"containers,address_name,card_name",26,126,152,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_order_trip_supplies_by_deadline,5,"product_types,quantity,trip_day,address_name,card_name",29,192,221,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_post_question_last_ordered_product,2,"product_type,question",16,72,88,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_purchase_phone_recommendation,4,"recommender_first_name,product_type,address_name,card_name",19,250,269,0,0,0,0,"amazon,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_replace_last_product_adjacent_size,5,"product_type,size_direction,preferred_color,address_name,card_name",25,218,243,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_return_recent_orders,2,"order_count,deliverer_name",16,80,96,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_return_same_product_except_size_this_week,3,"product_name,keep_size,deliverer_name",19,130,149,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_text_wishlist_itemized_costs,1,relationship,19,58,77,0,0,0,0,"amazon,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_amazon_update_last_month_order_review,4,"product_color,product_type,target_rating,title",20,108,128,0,0,0,0,"amazon,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_bucket_list_status_update,2,"item,done",16,51,67,0,0,0,0,"simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_delete_gmail_empty_drafts,1,condition,16,39,55,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_delete_phone_spam_messages,1,phone_number,15,44,59,0,0,0,0,"phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_file_prefix_and_move_old_files,3,"source_directory,prefix_format,old_destination_directory",20,61,81,0,0,0,0,"file_system,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_amazon_promo_codes_answer,0,none,13,149,162,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_attach_job_search_files_and_send,2,"days_back,file_name",19,93,112,0,0,0,0,"file_system,gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_count_threads,3,"mailbox,read_state,label",20,60,80,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_delete_archived_threads_by_calendar_window,1,window,16,73,89,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_download_flight_ticket_attachment,2,"destination,directory_path",20,97,117,0,0,0,0,"file_system,gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_forward_anniversary_announcement_email,1,recipient_email,15,99,114,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_forward_caterer_bill_to_manager_with_note,1,note_prefix,16,148,164,0,0,0,0,"gmail,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_label_notification_threads_by_app,0,none,13,59,72,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_mark_threads_read_state_by_calendar_window,2,"target_state,window",17,77,94,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_relabel_priority_threads,5,"source_label_1,source_label_2,target_label_1,target_label_2,remove_label",21,122,143,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_reply_weekly_manager_tasks_by_star_state,3,"subject_prefix,done_reply,not_done_reply",21,120,141,0,0,0,0,"gmail,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_send_future_scheduled_drafts_now,0,none,12,44,56,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_star_threads_by_relationship,1,relationship,20,96,116,0,0,0,0,"gmail,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_gmail_thread_cleanup,2,"action,exception_mode",18,63,81,0,0,0,0,"gmail,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_membership_last_payment_card_name,1,app_name,20,69,89,0,0,0,0,"amazon,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_membership_paid_total,1,app_name,20,50,70,0,0,0,0,"amazon,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_membership_remaining_duration,2,"app_name,unit",23,72,95,0,0,0,0,"amazon,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_message_app_account_verify_reset,3,"relationship,password,date_window",20,185,205,0,0,0,0,"gmail,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_phone_message_non_venmo_contacts,3,"relationships,excluded_app,message",18,48,66,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_remove_expired_payment_cards,0,none,12,46,58,0,0,0,0,supervisor,"schema,compiler,handler,ledger,policy",not_recorded
appworld_shared_subscription_password_reset_and_text,4,"app_name,subscription_name,relationships,new_password",23,120,143,0,0,0,0,"gmail,phone,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_simple_note_export_markdown,1,destination_directory,17,50,67,0,0,0,0,"file_system,simple_note,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_add_artist_playcount_songs_to_queue,2,"artist_name,min_play_count",17,47,64,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_count_recent_release_library_songs,2,"years_back,include_current_year",37,50,87,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_count_unique_library_songs,0,none,13,35,48,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_current_artist_followers,0,none,12,21,33,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_download_liked_library_songs,1,collection_type,22,61,83,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_follow_artists_by_genre_followers,2,"genre,min_follower_count",17,33,50,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_follow_artists_from_liked_songs_and_albums,0,none,12,37,49,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_follow_playlist_song_artists_by_genre,1,genre,15,40,55,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_like_songs_from_followed_artists,0,none,12,42,54,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_navigate_until_artist,2,"direction,artist_name",17,46,63,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_playlist_best_song_per_collection,3,"playlist_title,song_metric,collection_type",22,67,89,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_playlist_from_workout_email,1,playlist_title,16,154,170,0,0,0,0,"gmail,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_rate_library_songs_by_liked_status,3,"collection_type,liked_filter,target_rating",29,82,111,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_reply_liked_song_recommendations_email,2,"relationship,message_prefix",23,129,152,0,0,0,0,"gmail,phone,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_sync_following_by_liked_song_artists,1,operation,24,49,73,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_top_played_genre_titles,2,"genre,limit",18,50,68,0,0,0,0,"spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_spotify_update_song_recommendation_draft_from_library,1,person_first_name,20,135,155,0,0,0,0,"gmail,spotify,supervisor","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_change_password,1,new_password,18,75,93,0,0,0,0,"gmail,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_like_transactions_by_relationship_period,2,"relationships,period",17,64,81,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_manager_meal_total_from_social_feed,4,"relationships,meal,venue,share_amount",22,85,107,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_pay_coworkers_and_email,5,"relationships,amount,note,email_subject,email_body",25,167,192,0,0,0,0,"gmail,phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_pay_flight_bill_from_email,2,"person_first_name,note",19,203,222,0,0,0,0,"file_system,gmail,phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_pay_grocery_from_text_and_notify,3,"person_first_name,note,message",20,104,124,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_process_pending_payment_requests,2,"decision,relationships",20,79,99,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_remind_old_payment_requests,2,"relationships,min_days",19,50,69,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_send_to_named_user_with_optional_signup,2,"person_first_name,amount",17,224,241,0,0,0,0,"gmail,phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_send_to_phone_number,3,"phone_number,amount,private",18,72,90,0,0,0,0,"phone,supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
appworld_venmo_sum_transaction_likes,2,"direction,period",18,43,61,0,0,0,0,"supervisor,venmo","schema,compiler,handler,ledger,policy",not_recorded
